# 20211019
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
10	D. Russell	Min	@Mil	113-108 W	36	12-25	3-11	2-3	5	6	0	0	3	29	43.1
11	K. Towns	Min	@Mil	113-108 W	38	9-13	3-5	4-5	3	5	1	3	7	25	42.8
12	K. Durant	BKN	Mia	106-93 L	37	9-18	2-4	5-6	11	2	1	2	5	25	42.4
13	M. Bridges	Cha	@Orl	120-111 W	35	11-21	5-10	4-5	6	0	0	1	3	31	42.0
14	S. Gilgeous-Alexander	Okc	LAL	115-123 W	38	7-19	5-11	8-10	9	5	0	0	2	27	41.9
15	C. Anthony	Orl	Cha	120-111 L	35	11-20	2-7	0-0	5	6	1	0	3	24	41.1
16	J. Butler	Mia	@BKN	106-93 W	37	6-18	0-0	5-6	14	7	4	1	3	17	41.0
17	H. Barnes	Sac	@PHX	110-107 W	39	10-18	2-6	0-0	9	4	0	0	1	22	40.5
18	B. Hield	Sac	@PHX	110-107 W	27	8-17	7-11	3-3	5	1	2	2	4	26	39.5
19	O. Anunoby	Tor	Ind	100-118 W	34	9-21	4-10	3-4	3	3	5	1	1	25	39.3
20	C. Sexton	Cle	@LAC	92-79 W	38	12-20	0-4	2-3	7	1	3	0	5	26	39.2
21	D. Graham	NO	Atl	102-99 L	32	8-17	5-10	0-0	5	6	1	0	0	21	38.7
22	J. Collins	Atl	@NO	102-99 W	25	8-11	0-1	0-0	12	4	0	0	1	16	38.5
23	A. Horford	Bos	WSH	116-107 L	26	7-12	2-4	0-0	11	4	1	1	1	16	38.3
24	S. Barnes	Tor	Ind	100-118 W	36	8-17	0-0	2-2	7	7	0	2	2	18	37.5
25	D. Bazley	Okc	LAL	115-123 W	32	8-14	4-8	0-0	6	2	4	1	3	20	37.3
26	W. Carter Jr.	Orl	Cha	120-111 L	33	8-15	2-5	2-2	10	2	1	0	1	20	37.0
27	J. Valanciunas	NO	Atl	102-99 L	36	6-14	0-0	4-4	15	3	1	1	2	16	36.8
28	C. McCollum	Por	Mem	96-116 W	32	8-21	4-9	5-6	6	2	2	1	2	25	35.9
29	J. Morant	Mem	@Por	96-116 L	32	5-12	3-6	4-5	9	10	1	0	9	17	35.8
30	B. Ingram	NO	Atl	102-99 L	39	8-21	3-7	1-1	8	4	1	2	2	20	35.4
# 20211028
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	J. Collins	Atl	@WSH	111-122 L	38	14-16	0-0	0-0	12	3	0	0	2	28	55.2
2	M. Harrell	WSH	Atl	111-122 W	34	10-16	0-2	5-5	13	5	2	1	0	25	54.9
3	S. Curry	GS	Mem	104-101 L	41	11-29	7-20	7-7	7	8	1	0	5	36	53.6
4	J. Embiid	Phi	Det	102-110 W	31	8-19	1-4	13-15	18	3	1	0	4	30	51.8
5	D. Murray	SA	@Dal	99-104 L	36	10-17	3-5	0-0	10	8	1	0	2	23	49.7
6	J. Morant	Mem	@GS	104-101 W	42	11-22	2-8	6-6	7	5	4	0	5	30	49.2
7	B. Beal	WSH	Atl	111-122 W	38	11-26	1-4	4-4	8	8	0	1	1	27	47.4
8	N. Vucevic	Chi	NY	104-103 L	36	8-13	3-5	3-4	8	6	1	0	0	22	44.9
9	K. Caldwell-Pope	WSH	Atl	111-122 W	30	7-10	5-7	2-3	8	2	0	1	2	21	38.6
10	M. Kleber	Dal	SA	99-104 W	29	4-8	4-8	0-0	10	2	1	6	0	12	37.0
11	T. Maxey	Phi	Det	102-110 W	31	6-8	2-2	2-2	6	6	0	2	4	16	36.3
12	Z. LaVine	Chi	NY	104-103 L	35	7-17	2-6	9-9	5	3	0	1	3	25	35.8
	J. Randle	NY	@Chi	104-103 W	35	3-11	0-2	7-10	16	9	1	0	4	13	35.8
14	J. Brunson	Dal	SA	99-104 W	30	8-15	3-6	0-2	7	5	0	0	0	19	35.3
15	L. Doncic	Dal	SA	99-104 W	34	11-19	3-8	0-3	3	5	0	1	7	25	35.2
16	T. Young	Atl	@WSH	111-122 L	35	6-17	1-5	2-3	3	13	2	1	3	15	34.9
17	R. Gobert	UTAH	@Hou	122-91 W	28	5-7	0-0	6-8	14	1	0	1	2	16	34.7
18	K. Walker	NY	@Chi	104-103 W	29	7-12	5-6	2-3	4	2	2	0	1	21	34.3
19	J. Poeltl	SA	@Dal	99-104 L	36	7-13	0-0	0-2	13	2	1	2	1	14	33.5
20	K. Kuzma	WSH	Atl	111-122 W	40	8-17	2-6	3-6	8	0	3	0	0	21	32.2
21	D. DeRozan	Chi	NY	104-103 L	35	7-18	1-4	5-5	3	5	2	1	2	20	32.0
22	D. Green	GS	Mem	104-101 L	38	2-5	0-0	0-0	12	7	3	5	5	4	31.9
23	B. Bogdanovic	Atl	@WSH	111-122 L	34	6-11	1-4	1-1	6	4	1	0	0	14	29.4
24	T. Harris	Phi	Det	102-110 W	36	7-13	1-4	2-2	6	1	0	2	2	17	29.0
	D. Bane	Mem	@GS	104-101 W	38	7-16	5-11	0-0	6	2	1	0	3	19	29.0
26	D. Mitchell	UTAH	@Hou	122-91 W	24	5-12	2-5	3-3	3	6	2	0	1	15	28.9
27	S. Bey	Det	@Phi	102-110 L	35	7-14	4-9	1-4	6	2	0	0	1	19	28.4
	R. Barrett	NY	@Chi	104-103 W	33	8-15	1-3	3-3	3	1	1	0	1	20	28.4
29	C. Wood	Hou	UTAH	122-91 L	27	6-13	2-4	2-2	7	1	2	1	2	16	28.3
30	B. Bogdanovic	UTAH	@Hou	122-91 W	25	5-12	2-6	7-7	4	2	1	0	2	19	27.6
# 20211029
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	P. George	LAC	@Por	92-111 L	34	15-24	6-9	6-9	8	2	1	1	4	42	62.3
2	J. Butler	Mia	Cha	99-114 W	36	12-19	1-3	7-7	10	5	1	1	4	32	57.3
3	B. Adebayo	Mia	Cha	99-114 W	36	10-16	0-0	6-6	19	2	2	1	5	26	54.4
4	J. Harden	BKN	Ind	98-105 W	35	5-11	3-6	16-19	8	8	1	2	4	29	52.5
5	T. Craig	Ind	@BKN	98-105 L	34	9-16	4-7	6-8	11	3	0	0	2	28	47.1
6	T. Herro	Mia	Cha	99-114 W	32	9-13	4-6	4-4	4	6	1	0	3	26	46.1
7	J. Valanciunas	NO	Sac	113-109 L	32	10-14	1-2	3-6	13	1	2	2	5	24	45.4
8	K. Durant	BKN	Ind	98-105 W	37	7-10	1-3	7-8	11	7	1	0	7	22	45.0
9	L. James	LAL	Cle	101-113 W	38	10-22	1-10	5-5	3	8	3	1	7	26	41.9
10	N. Jokic	Den	Dal	75-106 W	25	5-9	1-3	0-0	16	8	1	0	1	11	40.8
11	G. Hayward	Cha	@Mia	99-114 L	37	8-15	5-8	2-2	6	4	0	1	1	23	40.7
12	M. Bamba	Orl	@Tor	109-110 L	39	6-14	2-5	0-2	18	5	0	3	3	14	40.1
	S. Barnes	Tor	Orl	109-110 W	37	9-14	1-2	2-2	9	1	2	1	1	21	40.1
14	D. Lillard	Por	LAC	92-111 W	34	9-17	5-7	2-2	4	6	1	0	6	25	39.8
15	C. Anthony	Orl	@Tor	109-110 L	34	7-13	5-6	5-6	5	5	0	0	2	24	39.8
16	E. Mobley	Cle	@LAL	101-113 L	36	10-16	1-2	2-5	6	3	2	0	0	23	39.0
17	C. Anthony	LAL	Cle	101-113 W	25	9-12	6-8	0-0	5	1	0	0	2	24	38.6
18	R. Holmes	Sac	@NO	113-109 W	32	7-8	0-0	7-7	6	1	0	1	1	21	37.1
19	H. Barnes	Sac	@NO	113-109 W	37	5-9	2-3	6-6	12	2	0	0	1	18	36.4
20	W. Carter Jr.	Orl	@Tor	109-110 L	33	8-12	1-4	0-1	12	3	0	0	2	17	36.3
21	D. Fox	Sac	@NO	113-109 W	37	9-21	1-7	4-4	7	5	0	0	4	23	35.1
22	D. Sabonis	Ind	@BKN	98-105 L	35	7-14	1-4	1-2	7	6	3	1	3	16	35.1
23	J. Nurkic	Por	LAC	92-111 W	23	6-14	0-1	2-4	17	3	2	1	3	14	35.0
24	L. Aldridge	BKN	Ind	98-105 W	28	10-16	0-1	1-3	8	0	1	1	1	21	34.6
25	A. Davis	LAL	Cle	101-113 W	31	7-14	1-2	0-0	9	3	1	3	2	15	33.9
26	B. Ingram	NO	Sac	113-109 L	36	9-22	2-6	2-4	6	6	0	0	2	22	33.5
27	T. Haliburton	Sac	@NO	113-109 W	31	7-12	1-2	2-3	2	8	0	1	2	17	33.4
	R. Westbrook	LAL	Cle	101-113 W	34	8-13	1-1	2-3	6	5	0	0	4	19	33.4
29	W. Barton	Den	Dal	75-106 W	27	7-12	2-6	1-1	5	6	0	0	2	17	33.3
30	B. Hield	Sac	@NO	113-109 W	30	6-11	3-7	5-5	6	1	2	0	2	20	32.8
# 20211030
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	R. Barrett	NY	@NO	123-117 W	36	12-18	6-8	5-6	8	6	0	0	1	35	61.4
2	N. Jokic	Den	@Min	93-91 W	37	10-23	3-8	3-4	19	7	1	2	7	26	54.8
3	J. Valanciunas	NO	NY	123-117 L	33	10-15	1-3	6-7	14	4	0	0	2	27	52.4
4	B. Beal	WSH	Bos	112-115 W	46	12-32	3-8	9-9	7	6	2	1	4	36	51.8
5	J. Butler	Mia	@Mem	129-103 W	30	8-12	1-2	10-11	5	7	3	0	1	27	51.1
6	J. Brown	Bos	@WSH	112-115 L	47	14-24	0-5	6-7	6	2	1	1	3	34	49.8
7	D. DeRozan	Chi	UTAH	99-107 W	35	13-22	0-1	6-6	6	3	0	0	1	32	48.8
8	R. Gobert	UTAH	@Chi	99-107 L	32	7-9	0-0	3-4	19	1	1	3	0	17	48.0
9	D. Murray	SA	@Mil	102-93 W	37	9-17	1-3	4-5	5	9	3	0	2	23	45.5
10	T. Harris	Phi	Atl	94-122 W	31	9-13	2-5	2-2	11	4	0	0	1	22	45.2
11	G. Antetokounmpo	Mil	SA	102-93 L	34	11-18	0-3	6-11	13	3	0	0	7	28	43.2
12	D. Booker	PHX	Cle	92-101 W	35	9-20	0-4	9-10	4	9	0	0	4	27	42.5
13	D. Sabonis	Ind	Tor	97-94 L	40	8-18	1-7	5-6	14	2	3	0	2	22	41.4
14	J. Tatum	Bos	@WSH	112-115 L	46	10-32	0-5	7-7	15	3	2	1	4	27	41.0
15	D. Mitchell	UTAH	@Chi	99-107 L	35	9-27	2-11	10-10	7	6	0	1	6	30	40.7
16	D. Green	GS	Okc	82-103 W	26	6-8	1-2	1-2	11	8	0	1	2	14	40.6
17	Z. LaVine	Chi	UTAH	99-107 W	34	9-19	1-4	7-8	5	5	0	0	0	26	40.5
18	J. Grant	Det	Orl	103-110 W	35	6-14	1-6	9-10	7	5	1	0	1	22	37.9
19	K. Olynyk	Det	Orl	103-110 W	28	6-12	3-6	3-5	6	4	3	2	0	18	37.3
20	S. Curry	GS	Okc	82-103 W	27	7-16	6-15	0-0	5	6	1	1	2	20	37.2
21	D. Ayton	PHX	Cle	92-101 W	24	8-10	0-1	1-3	12	1	3	0	2	17	37.1
22	M. Harrell	WSH	Bos	112-115 W	35	6-14	1-3	7-8	14	1	0	1	2	20	36.5
23	K. Lowry	Mia	@Mem	129-103 W	29	5-8	4-5	1-1	5	8	3	0	4	15	36.3
24	D. Melton	Mem	Mia	129-103 L	27	6-12	4-7	4-4	3	5	2	1	2	20	36.2
25	K. Walker	NY	@NO	123-117 W	32	6-11	4-7	3-4	4	5	4	0	3	19	35.9
26	C. Paul	PHX	Cle	92-101 W	37	6-10	2-2	2-6	2	10	4	0	2	16	35.7
27	S. Barnes	Tor	@Ind	97-94 W	35	9-17	0-1	3-6	12	1	1	0	1	21	35.7
28	K. Kuzma	WSH	Bos	112-115 W	48	6-14	2-4	3-7	17	1	0	2	2	17	35.0
29	A. Horford	Bos	@WSH	112-115 L	41	4-9	0-1	0-0	10	5	1	6	0	8	34.4
30	T. Herro	Mia	@Mem	129-103 W	32	8-19	4-8	2-3	6	5	0	0	3	22	33.8
# 20211031
RK	PLAYER	TEAM	OPP	SCORE	MIN	FGM-A	3PM-A	FTM-A	REB	AST	STL	BLK	TO	PTS	ESPN
1	L. Ball	Cha	Por	113-125 W	33	10-20	4-9	3-4	9	7	1	0	1	27	50.1
2	G. Antetokounmpo	Mil	UTAH	107-95 L	35	10-20	3-11	2-2	7	6	2	2	2	25	47.8
3	J. Harden	BKN	Det	91-117 W	29	6-9	4-7	2-3	10	12	0	0	5	18	46.6
4	K. Oubre Jr.	Cha	Por	113-125 W	32	8-14	6-11	4-8	7	5	2	0	1	26	45.3
5	L. Doncic	Dal	Sac	99-105 W	35	10-21	1-7	2-6	8	10	1	1	3	23	44.3
6	M. Bridges	Cha	Por	113-125 W	34	6-12	3-7	4-5	6	9	0	1	0	19	41.9
7	R. Holmes	Sac	@Dal	99-105 L	27	9-15	1-1	3-3	13	0	2	0	1	22	41.8
8	D. Mitchell	UTAH	@Mil	107-95 W	33	10-18	4-9	4-5	4	2	2	0	4	28	39.8
9	R. Westbrook	LAL	Hou	85-95 W	35	9-22	2-4	0-1	8	9	1	0	2	20	39.0
10	C. Anthony	LAL	Hou	85-95 W	25	8-14	5-8	2-4	3	0	2	4	0	23	38.2
11	K. Durant	BKN	Det	91-117 W	27	10-13	1-1	2-3	1	5	0	1	3	23	38.1
12	C. McCollum	Por	@Cha	113-125 L	38	10-24	4-11	1-2	2	8	0	0	2	25	37.1
13	P. Washington	Cha	Por	113-125 W	21	8-8	1-1	0-0	2	3	0	2	0	17	34.5
14	L. James	LAL	Hou	85-95 W	35	6-19	0-6	3-4	7	8	4	1	2	15	32.8
15	H. Barnes	Sac	@Dal	99-105 L	38	5-16	1-8	4-4	10	5	3	0	1	15	32.0
16	R. Gobert	UTAH	@Mil	107-95 W	31	2-3	0-0	5-6	13	2	1	4	2	9	31.7
17	A. Davis	LAL	Hou	85-95 W	33	7-17	0-1	2-2	13	2	1	1	3	16	31.6
18	J. Nurkic	Por	@Cha	113-125 L	26	5-9	0-2	3-3	14	1	2	1	4	13	31.6
19	M. Conley	UTAH	@Mil	107-95 W	30	6-11	4-7	4-4	3	2	0	0	2	20	29.4
	D. Bembry	BKN	Det	91-117 W	24	6-8	1-2	2-2	7	1	2	0	2	15	29.4
21	D. Lillard	Por	@Cha	113-125 L	38	5-20	2-14	2-2	4	12	0	0	2	14	27.9
22	A. Simons	Por	@Cha	113-125 L	19	6-9	5-8	2-2	1	1	0	0	1	19	27.3
23	D. Powell	Dal	Sac	99-105 W	33	4-5	1-1	3-4	8	1	1	1	1	12	26.8
	T. Haliburton	Sac	@Dal	99-105 L	33	5-14	1-4	3-3	6	4	0	2	1	14	26.8
25	C. Wood	Hou	@LAL	85-95 L	35	7-15	1-6	1-7	13	2	0	0	3	16	26.3
26	L. Aldridge	BKN	Det	91-117 W	21	7-8	0-0	2-2	3	1	0	0	2	16	25.7
27	K. Porter Jr.	Hou	@LAL	85-95 L	36	6-13	1-5	0-1	9	4	2	0	6	13	25.5
28	G. Allen	Mil	UTAH	107-95 L	31	6-14	5-10	1-2	6	0	0	0	1	18	24.9
29	N. Powell	Por	@Cha	113-125 L	33	6-15	2-9	0-0	3	5	1	0	0	14	24.8
30	T. Thompson	Sac	@Dal	99-105 L	21	5-7	0-0	3-5	5	3	0	0	0	13	24.8
